3839920980812-AD61D3ECC6DC945C [app] LOG: importing modules
3839921113011-FFBA5F68C2C38F90 [app] LOG: starting database
3839921309850-69F76517EE0DCF31 [app] [db-init] LOG: successfully connected to database
3839921310251-DFAF007D5CE9052B [app] [db-init] LOG: running setup for db-type 'word'
3839921319979-FC7F5DBF98DB6F21 [app] [db-init] [db-word-setup] LOG: table "Word" exists
3839921320376-C00D7F697E32BA7E [app] [db-init] [db-word-setup] LOG: table "Reference" exists
3839921320597-447F28725ADA9182 [app] [db-init] [db-word-setup] LOG: table "Translation" exists
3839921320693-4C13FB3F2907775E [app] [db-init] LOG: successfully created database
3839921321108-5A370FEB7D1966EB [app] LOG: setup done
3839921324198-CE11E953E75AAF7C [app] [server] LOG: listening on port 2718
3841124163956-26BD278464ECBFA6 [app] [session-6F603F2F83C9B20E] LOG: GET request: "/"
3841124164257-CAB691284DAEA762 [app] [session-6F603F2F83C9B20E] LOG: sending redirect: "/dictionary"
3841764210137-2141ED8D058C0FD9 [app] [session-189DC928B72DCB95] LOG: GET request: "/"
3841764210284-2D811A50B6A0BE2D [app] [session-189DC928B72DCB95] LOG: sending redirect: "/dictionary"
3841764283218-37DF960F3E40BC85 [app] [session-0570107D3675BE9D] LOG: GET request: "/dictionary"
3841764283406-C57A1B2955539673 [app] [session-0570107D3675BE9D] LOG: sending file: "/root/web/zokadictionary/client/dictionary.html"
3841764775386-02DA4E2763C9BF61 [app] [session-C502CEAB175D9191] LOG: GET request: "/dictionary.js"
3841764775508-13DB3AD807382779 [app] [session-C502CEAB175D9191] LOG: sending file: "/root/web/zokadictionary/client/dictionary.js"
3841764776864-5859EF50AC5DB374 [app] [session-4AD1D1E189E1EBF0] LOG: GET request: "/dictionary.css"
3841764776923-8FA771DC2E485778 [app] [session-4AD1D1E189E1EBF0] LOG: sending file: "/root/web/zokadictionary/client/dictionary.css"
3841764778137-9850A1B0000107D5 [app] [session-33BF3ADB4B751FB8] LOG: GET request: "/main.css"
3841764778194-125254BB7841D81A [app] [session-33BF3ADB4B751FB8] LOG: sending file: "/root/web/zokadictionary/client/main.css"
3841764833480-60E6CC8BFA6B9525 [app] [session-F561ECD40A6D8866] LOG: GET request: "/dictionary-api/all-words"
3841764833650-15EDC90BDCD08384 [app] [session-F561ECD40A6D8866] LOG: API request: get-all-words
3841764833764-4B56D8234942C510 [app] [session-F561ECD40A6D8866] [api-get-all-words] LOG: fetching words
3843060110887-4A7C49208107E28E [app] [session-7977E2587B520748] LOG: GET request: "/"
3843060111076-889348F9D6E97F39 [app] [session-7977E2587B520748] LOG: sending redirect: "/dictionary"
3843060153599-F9F65233B33AE10E [app] [session-37EA3FBC54A298A5] LOG: GET request: "/dictionary"
3843060153680-5406F372334DF8A2 [app] [session-37EA3FBC54A298A5] LOG: sending file: "/root/web/zokadictionary/client/dictionary.html"
3843060558817-A2FEAFBA0EFB92ED [app] [session-DC198DFB553E9A4D] LOG: GET request: "/"
3843060558938-42F2A7DBB006485B [app] [session-DC198DFB553E9A4D] LOG: sending redirect: "/dictionary"
3843060611180-02084AB857AEB6AF [app] [session-A483A940E352995D] LOG: GET request: "/dictionary"
3843060611261-F23A626E331D4490 [app] [session-A483A940E352995D] LOG: sending file: "/root/web/zokadictionary/client/dictionary.html"
3843060694711-85F73057B62A58F0 [app] [session-9622F9F28302D9BF] LOG: GET request: "/main.css"
3843060694808-B9F81D542FFFCFA1 [app] [session-9622F9F28302D9BF] LOG: sending file: "/root/web/zokadictionary/client/main.css"
3843060697236-BF97E0DC4A93FCDD [app] [session-C5136D4C5330CB41] LOG: GET request: "/dictionary.js"
3843060697307-9DEB08553AFCE061 [app] [session-C5136D4C5330CB41] LOG: sending file: "/root/web/zokadictionary/client/dictionary.js"
3843060698249-C903D500B5B9DB12 [app] [session-457A3FE47BF7FDAE] LOG: GET request: "/dictionary.css"
3843060698316-E08AB2A671059297 [app] [session-457A3FE47BF7FDAE] LOG: sending file: "/root/web/zokadictionary/client/dictionary.css"
3843060854691-1006E8527B7CA601 [app] [session-178A2EB61AA0139A] LOG: GET request: "/dictionary-api/all-words"
3843060854830-FD931BEB640AE27E [app] [session-178A2EB61AA0139A] LOG: API request: get-all-words
3843060854907-37D1A9A95792F240 [app] [session-178A2EB61AA0139A] [api-get-all-words] LOG: fetching words
3843061668779-E04F1E9FABE5AB6D [app] [session-C703EE0E6A981D66] LOG: GET request: "/dictionary"
3843061668893-27E91E7E0612A653 [app] [session-C703EE0E6A981D66] LOG: sending file: "/root/web/zokadictionary/client/dictionary.html"
3843176144512-7E998EA6A182F25A [app] [session-10C81DE757298331] LOG: GET request: "/"
3843176144661-DB8030C757D2C64E [app] [session-10C81DE757298331] LOG: sending redirect: "/dictionary"
3843176439982-79ECA25AA770F359 [app] [session-0EBFF41AED118FD2] LOG: GET request: "/dictionary"
3843176440102-2F9BFF2FAB75A07E [app] [session-0EBFF41AED118FD2] LOG: sending file: "/root/web/zokadictionary/client/dictionary.html"
